_latitude,_longitude,country,prospect,sample_id,easting,northing
-7.0708796,-78.7372053,Perú,Leonidas,450751,749954,9217806
-7.0742243,-78.7390491,Perú,Leonidas,450760,749749,9217442
-7.0737259,-78.7373222,Perú,Leonidas,450758,749939,9217494
-7.0744483,-78.74098,Perú,Leonidas,450769,749540,9217417
-7.0752558,-78.7410008,Perú,Leonidas,450768,749531,9217326
-7.0764216,-78.7410665,Perú,Leonidas,450767,749518,9217192
-7.0724708,-78.7407966,Perú,Leonidas,450772,749561,9217640
-7.0681033,-78.7389691,Perú,Leonidas,450782,749763,9218104
-7.0716506,-78.7400037,Perú,Leonidas,450781,749641,9217731
-7.072624,-78.7400462,Perú,Leonidas,450780,749632,9217614
-7.0734603,-78.7400051,Perú,Leonidas,450766,749640,9217527
-7.0689688,-78.7391246,Perú,Leonidas,450777,749736,9218022
-7.0707216,-78.7392028,Perú,Leonidas,450779,,
-7.0706957,-78.7392576,Perú,Leonidas,450778,749731,9217826
-7.071593,-78.7381383,Perú,Leonidas,450776,749849,9217728
-7.0724111,-78.7382542,Perú,Leonidas,450761,749829,9217645
-7.0690445,-78.740945,Perú,Leonidas,450775,749540,9218016
-7.0707045,-78.7408114,Perú,Fabiana,450774,749559,9217829
-7.0716818,-78.7409551,Perú,Leonidas,450773,749539,9217721
-7.0735006,-78.7481174,Perú,Leonidas,450784,748744,9217524
-7.0708016,-78.7490132,Perú,Leonidas,450785,748664,9217824
-7.0701271,-78.7389672,Perú,Leonidas,450795,,
-7.0743917,-78.7472073,Perú,Leonidas,450791,748841,9217430
-7.072604,-78.7454541,Perú,Leonidas,450790,749042,9217621
-7.0734995,-78.7463426,Perú,Leonidas,450789,748952,9217514
-7.0734748,-78.7473042,Perú,Leonidas,450788,748830,9217532
-7.07012,-78.7389467,Perú,Leonidas,450794,749758,9217893
-7.0680933,-78.740155,Perú,Leonidas,450793,749626,9218116
-7.067110981,-78.73716313,Perú,Leonidas,450792,749965,9218232
-7.0707395,-78.7481678,Perú,Leonidas,450786,748735,9217819
-7.0743762,-78.7481293,Perú,Leonidas,450783,748766,9217421
-7.0663216,-78.7482383,Perú,Leonidas,450808,748736,9218319
-7.0671511,-78.7490031,Perú,Leonidas,450807,748653,9218223
-7.0681351,-78.7490749,Perú,Leonidas,450806,748639,9218131
-7.068054,-78.7500106,Perú,Leonidas,450798,748535,9218115
-7.0678953,-78.7509169,Perú,Leonidas,450797,748442,9218139
-7.0697171,-78.750039,Perú,Leonidas,450796,748539,9217947
-7.0707677,-78.747247,Perú,Leonidas,450801,748845,9217815
-7.0697894,-78.7480787,Perú,Leonidas,450802,748759,9217927
-7.0698457,-78.7481069,Perú,Leonidas,450803,,
-7.0697969,-78.7491236,Perú,Leonidas,450800,748635,9217931
-7.0690308,-78.7490797,Perú,Leonidas,450805,748642,9218020
-7.0671887,-78.7383873,Perú,Leonidas,450809,749825,9218220
-7.0653677,-78.7372813,Perú,Leonidas,450820,749947,9218421
-7.066315,-78.737145,Perú,Leonidas,450821,749958,9218314
-7.0653726,-78.7382358,Perú,Leonidas,450819,749844,9218422
-7.0662302,-78.7381636,Perú,Leonidas,450818,749844,9218325
-7.0643643,-78.7380632,Perú,Leonidas,450823,,
-7.0643733,-78.7380331,Perú,Leonidas,450822,749866,9218528
-7.0642261,-78.7399139,Perú,Leonidas,450816,749664,9218550
-7.0655126,-78.7401136,Perú,Leonidas,450815,749633,9218402
-7.0663582,-78.7400951,Perú,Leonidas,450814,749638,9218311
-7.0673205,-78.7399008,Perú,Leonidas,450804,749653,9218203
-7.0643826,-78.7372927,Perú,Leonidas,450824,749950,9218524
-7.0651968,-78.7389328,Perú,Leonidas,450812,749766,9218449
-7.0643935,-78.7391752,Perú,Leonidas,450813,749731,9218522
-7.0663616,-78.7393029,Perú,Leonidas,450799,749720,9218309
-7.067138,-78.7391388,Perú,Leonidas,450810,749750,9218222
-7.0653915,-78.7410684,Perú,Leonidas,450836,749525,9218416
-7.0661195,-78.74114,Perú,Leonidas,450839,749525,9218336
-7.0683767,-78.74084,Perú,Leonidas,450841,749557,9218084
-7.0689194,-78.7463505,Perú,Leonidas,450833,748938,9218029
-7.0690794,-78.7499412,Perú,Leonidas,450811,,
-7.0644679,-78.7409904,Perú,Leonidas,450838,,
-7.0689381,-78.746402,Perú,Leonidas,450830,,
-7.0691403,-78.7455003,Perú,Leonidas,450817,,
-7.0690475,-78.747274,Perú,Leonidas,450787,,
-7.0662817,-78.7472642,Perú,Leonidas,450826,748847,9218319
-7.0671752,-78.7482132,Perú,Leonidas,450829,748741,9218224
-7.0690503,-78.7499442,Perú,Leonidas,450825,748547,9218014
-7.0690596,-78.7455042,Perú,Leonidas,450834,749043,9218012
-7.0681019,-78.747338,Perú,Leonidas,450832,748839,9218118
-7.0689851,-78.7473444,Perú,Leonidas,450831,748837,9218020
-7.064488,-78.7410034,Perú,Leonidas,450837,749540,9218520
-7.0668508,-78.7414047,Perú,Leonidas,450840,749488,9218253
-7.0699284,-78.740015,Perú,Leonidas,450847,749641,9217913
-7.1580121,-78.5150115,Perú,Leonidas,450763,,
-7.0680107,-78.7454628,Perú,Leonidas,450842,749037,9218138
-7.0671662,-78.7472434,Perú,Leonidas,450828,748850,9218223
-7.0662245,-78.7490127,Perú,Leonidas,450827,748660,9218338
-7.071461,-78.7465498,Perú,Leonidas,450845,748918,9217749
-7.0699201,-78.7399858,Perú,Leonidas,450846,,
-7.0690626,-78.7436769,Perú,Leonidas,450844,749238,9218012
-7.0681214,-78.7445635,Perú,Leonidas,450843,749146,9218119
-7.0690018,-78.7446153,Perú,Leonidas,450835,749142,9218014
-12.02978972,-77.04859057,Perú,Leonidas,450852,,
-7.0804207,-78.7202128,Perú,Yerba Santa,450850,751826,9216745
-7.0808822,-78.7182464,Perú,Leonidas,LEO-0501,752045,9216694
-7.0800484,-78.71962,Perú,Yerba Santa,450849,751889,9216788
-7.0847886,-78.7280832,Perú,Yerba Santa,450851,750954,9216263
-7.0847746,-78.7296012,Perú,Yerba Santa,450852,750785,9216264
-7.0852397,-78.7290138,Perú,Leonidas,LEO-0502,750851,9216213
-7.0865697,-78.7306227,Perú,Leonidas,LEO-0503,750674,9216070
-7.0860842,-78.72074,Perú,Yerba Santa,450857,751767,9216116
-7.0846845,-78.7209832,Perú,Yerba Santa,450853,751740,9216272
-7.0861652,-78.7211849,Perú,Leonidas,LEO-0511,751713,9216111
-7.0855598,-78.7138875,Perú,Leonidas,LEO-0507,752513,9216176
-7.0856254,-78.7186537,Perú,Leonidas,LEO-0510,751995,9216166
-7.0860548,-78.7175628,Perú,Leonidas,LEO-0509,752114,9216117
-7.0867503,-78.715865,Perú,Leonidas,LEO-0508,752306,9216041
-7.0841455,-78.7148216,Perú,Leonidas,LEO-0504,,
-7.0825313,-78.714903,Perú,Yerba Santa,450854,752412,9216507
-7.082637,-78.7168735,Perú,Yerba Santa,450856,752199,9216493
-7.0820228,-78.7159182,Perú,Yerba Santa,450859,752301,9216562
-7.0825781,-78.7214742,Perú,Yerba Santa,450858,751686,9216504
-7.0816929,-78.7218942,Perú,Yerba Santa,450848,751637,9216605
-7.0825575,-78.7205932,Perú,Leonidas,LEO-0514,751782,9216509
-7.0821191,-78.7192613,Perú,Leonidas,LEO-0513,751928,9216553
-7.0845631,-78.7266631,Perú,Leonidas,LEO-0515,751109,9216287
